CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1E_Income support,E1E_Flag,E1_Notes,E2E_Debt/contract relief,E2_Notes,E3E_Fiscal measures,E3_Notes,E4E_International support,E4_Notes,H1E_Public information campaigns,H1E_Flag,H1_Notes,H2E_Testing policy,H2_Notes,H3E_Contact tracing,H3_Notes,H4E_Emergency investment in healthcare,H4_Notes,H5E_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7E_Vaccination policy,H7E_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1E_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_NonVaccinated_ForDisplay,StringencyIndex_Vaccinated,StringencyIndex_Vaccinated_ForDisplay,StringencyIndex_SimpleAverage,StringencyIndex_SimpleAverage_ForDisplay,StringencyIndex_WeightedAverage,StringencyIndex_WeightedAverage_ForDisplay,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_NonVaccinated_ForDisplay,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_Vaccinated_ForDisplay,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_SimpleAverage_ForDisplay,GovernmentResponseIndex_WeightedAverage,GovernmentResponseIndex_WeightedAverage_ForDisplay,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_NonVaccinated_ForDisplay,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_Vaccinated_ForDisplay,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_SimpleAverage_ForDisplay,ContainmentHealthIndex_WeightedAverage,ContainmentHealthIndex_WeightedAverage_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
United States,USA,,,NAT_TOTAL,20220101,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,55104127,826006,63.12,27.78,27.78,13.89,13.89,20.84,20.84,19.01,19.01,30.21,30.21,22.40,22.40,26.31,26.31,25.28,25.28,34.52,34.52,25.60,25.60,30.06,30.06,28.89,28.89,0.00,0.00
United States,USA,,,NAT_TOTAL,20220102,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,55400226,826412,63.15,27.78,27.78,13.89,13.89,20.84,20.84,19.01,19.01,30.21,30.21,22.40,22.40,26.31,26.31,25.28,25.28,34.52,34.52,25.60,25.60,30.06,30.06,28.89,28.89,0.00,0.00
United States,USA,,,NAT_TOTAL,20220103,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,56444020,828315,63.21,27.78,27.78,13.89,13.89,20.84,20.84,19.00,19.00,30.21,30.21,22.40,22.40,26.31,26.31,25.27,25.27,34.52,34.52,25.60,25.60,30.06,30.06,28.88,28.88,0.00,0.00
United States,USA,,,NAT_TOTAL,20220104,0.00,,,,,,0.00,,"The CDC updated guidance Nov 5 to include recommendations for vaccination of those aged 5 and up. Otherwise, the policy remains unchanged as the CDC is only recommending operational changes (like mask-wearing) and not requiring such changes.     ""Given new evidence on the B.1.617.2 (Delta) variant, CDC has updated the guidance for fully vaccinated people. CDC recommends universal indoor masking for all teachers, staff, students, and visitors to K-12 schools, regardless of vaccination status. Children should return to full-time in-person learning in the fall with layered prevention strategies in place.""    Given the recommendation, rather than mandate, this remains coded as a ""0"".     Updated Nov 19 to include guidance with boosters, with no change in policy.     ""As schools go back to in-person learning, many offer free, regular COVID-19 testing for students and staff. Regular testing, along with COVID-19 vaccination, helps protect students, staff, family members, and others who are not currently vaccinated against COVID-19 or are otherwise at risk for getting seriously sick from COVID-19. Testing programs help keep students in the classroom and allow them to take part in the other activities they love.""    The CDC also recommends universal indoor masking for all students, staff, teachers, and visitors to K-12 schools, regardless of vaccination status.  Added recommendation for fully vaccinated people who have a known exposure to someone with suspected or confirmed COVID-19 to be tested 3-5 days after exposure, regardless of whether they have symptoms.    Otherwise, no significant change to guidance and still emphasizes the importance of in-person instruction for education.     See archive:   https://web.archive.org/web/20220104004656/https://www.cdc.gov/coronavirus/2019-ncov/vaccines/fully-vaccinated-guidance.html    https://web.archive.org/web/20220104032138/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/k-12-guidance.html",0.00,,,,,,0.00,,"OSHA updated guidelines Aug 13:  ""Update to reflect the July 27, 2021 Centers for Disease Control and Prevention (CDC) mask and testing recommendations for fully vaccinated people  Reorganize Appendix recommendations for Manufacturing, Meat and Poultry Processing, Seafood Processing, and Agricultural Processing Industries  Add links to guidance with the most up-to-date content""    Otherwise no changes to policy and the update does not change the policy strigency.     See archive:  https://web.archive.org/web/20220101044651/https://www.osha.gov/coronavirus/safework    https://web.archive.org/web/20220104033812/https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/business-employers/bars-restaurants.html",0.00,,,,,,0.00,,"Most recently updated December 10th, 2021 without a change in policy. The CDC provides recommendations for hosting and attending both large and small events safely. There are no direct recommendations for cancelling events.     See archive:   https://web.archive.org/web/20211221204021/https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html?CDC_AA_refVal=https://www.cdc.gov/coronavirus/2019-ncov/your-health/need-to-know.html    https://web.archive.org/web/20211231161731/https://www.cdc.gov/coronavirus/2019-ncov/your-health/gatherings.html",0.00,,,,,,0.00,,"Most recently updated December 10th, 2021 without a change in policy. The CDC provides recommendations for hosting and attending both large and small events safely. There are no direct recommendations for cancelling events.     See archive:   https://web.archive.org/web/20211221204021/https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html?CDC_AA_refVal=https://www.cdc.gov/coronavirus/2019-ncov/your-health/need-to-know.html    https://web.archive.org/web/20211231161731/https://www.cdc.gov/coronavirus/2019-ncov/your-health/gatherings.html",0.00,,,,,,0.00,,"Updated August 27, the CDC requires that masks are worn on all public transportation. Other than guidance for safer travel, there is no requirement or recommendation for public transit closures.     See archive:   https://web.archive.org/web/20220104025343/https://www.cdc.gov/coronavirus/2019-ncov/travelers/face-masks-public-transportation.html",0.00,,,,,,0.00,,"No new updates. Policy last updated 08 January 2021.    There are no stay-at-home recommendations or orders at the national level, only when feeling ill.     See archive:   https://web.archive.org/web/20211203173432/https://www.cdc.gov/coronavirus/2019-ncov/easy-to-read/end-home-isolation.html",,,1.00,1,0.00,,0.00,,"Update December 21st (no change in stringency level), the CDC recommends those that are unvaccinated to delay travel until fully vaccinated and recommends testing before and after travel (if travelling while unvaccinated). Recommends that both vaccinated and unvaccinated wear masks throughout travel:    ""Delay travel until you are fully vaccinated. Getting vaccinated is still the best way to protect yourself from severe disease, slow the spread of COVID-19, and reduce the number of new variants. CDC recommends you get a COVID-19 vaccine booster dose if you are eligible. People who are not fully vaccinated should follow additional recommendations before, during, and after travel.""    See archive:   https://web.archive.org/web/20220104024256/https://www.cdc.gov/coronavirus/2019-ncov/travelers/travel-during-covid19.html",,4.00,1.00,1.00,"On December 31st, the Biden administration lifted the previous ban of a list of countries and implemented rules for both vaccinated and unvaccinated persons:     ""You must be fully vaccinated to travel to the United States by plane if you are a non-U.S. citizen, non-U.S. immigrant (not a U.S. citizen, U.S. national, lawful permanent resident, or traveling to the United States on an immigrant visa). Only limited exceptions apply...    all air passengers, regardless of vaccination status, must show a negative COVID-19 test taken no more than 1 day before travel to the United States.""    See archive:   https://web.archive.org/web/20220103124420/https://www.cdc.gov/coronavirus/2019-ncov/travelers/noncitizens-US-air-travel.html",0.00,,"Per the USA government guidance on employment benefits, ""The federal government allowed states to change their laws to provide COVID-19 unemployment benefits for people whose jobs have been affected by the coronavirus pandemic.""    See archive:  https://web.archive.org/web/20211225051803/https://www.usa.gov/unemployment",0.00,"On August 26th, the Supreme Court ruled the CDC did not have the authority to order an eviction moratorium. This undid any federal-level effort to provide debt/contract relief. There debt/contract relief available is offered at the state-level.     See archive:   https://web.archive.org/web/20211225051814/https://www.usa.gov/help-with-bills",,,,,2.00,1,"The CDC still maintains a robust public information campaign.     See archive:   https://web.archive.org/web/20220104023155/https://www.cdc.gov/coronavirus/2019-nCoV/index.html",3.00,"Testing is still generally available. The CDC recommends that anyone symptomatic or those at risk (unvaccinated or had close contact with an infected person get tested).     See archive:   https://web.archive.org/web/20220103155018/https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html",1.00,"Contact tracing is primarily conducted at the state level, but the CDC is serving in both a guiding and supportive role with contact tracing. It varies, some states are sufficiently conducting contact tracing and others are doing so on a limited basis.     See archive:  https://web.archive.org/web/20211231190732/https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/contact-tracing.html",,,,,2.00,1,,,,,2.00,1,"On August 27th, the CDC updated guidance for wearing masks in public transit settings. This is directed at both vaccinated and unvaccinated individuals.    The July 29th order from Biden still stands, ordering federal workers to be vaccinated or subject themselves to constant masking and frequent testing.     Given that the public transit policy affects more people and is stricter, this is now coded as a 2G - Universal.     See archive:  https://web.archive.org/web/20220104025343/https://www.cdc.gov/coronavirus/2019-ncov/travelers/face-masks-public-transportation.html    https://web.archive.org/web/20220103013018/https://www.cdc.gov/quarantine/masks/mask-travel-guidance.html    https://web.archive.org/web/20220101145401/https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/masks.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprevent-getting-sick%2Fdiy-cloth-face-coverings.html",0.00,,"Vaccines are being administered at the state, local, and tribal level.    See archive:   https://web.archive.org/web/20220104021737/https://covid.cdc.gov/covid-data-tracker/",1.00,1,,,,,1.00,1,"The CDC still recommends limiting visitations to compassionate care if individuals are unvaccinated. If vaccinated, the CDC has different guidelines and does not recommend such restrictions.     See archive:   https://web.archive.org/web/20211222223056/https://www.cdc.gov/aging/covid19/covid19-older-adults.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fneed-extra-precautions%2Folder-adults.html    https://web.archive.org/web/20220101145407/https://www.cdc.gov/coronavirus/2019-ncov/hcp/infection-control-recommendations.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fhcp%2Finfection-control-after-vaccination.html",,,2,,0,,,,,,,,0,,0,,57272365,830646,63.27,27.78,27.78,13.89,13.89,20.84,20.84,18.99,18.99,30.21,30.21,22.40,22.40,26.31,26.31,25.27,25.27,34.52,34.52,25.60,25.60,30.06,30.06,28.88,28.88,0.00,0.00
United States,USA,,,NAT_TOTAL,20220105,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,57948853,832876,63.34,27.78,27.78,13.89,13.89,20.84,20.84,18.98,18.98,30.21,30.21,22.40,22.40,26.31,26.31,25.26,25.26,34.52,34.52,25.60,25.60,30.06,30.06,28.87,28.87,0.00,0.00
United States,USA,,,NAT_TOTAL,20220106,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,58792475,834972,63.40,27.78,27.78,13.89,13.89,20.84,20.84,18.97,18.97,30.21,30.21,22.40,22.40,26.31,26.31,25.26,25.26,34.52,34.52,25.60,25.60,30.06,30.06,28.86,28.86,0.00,0.00
United States,USA,,,NAT_TOTAL,20220107,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,59672268,837409,63.48,27.78,27.78,13.89,13.89,20.84,20.84,18.96,18.96,30.21,30.21,22.40,22.40,26.31,26.31,25.25,25.25,34.52,34.52,25.60,25.60,30.06,30.06,28.86,28.86,0.00,0.00
United States,USA,,,NAT_TOTAL,20220108,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,60079601,838279,63.53,27.78,27.78,13.89,13.89,20.84,20.84,18.96,18.96,30.21,30.21,22.40,22.40,26.31,26.31,25.25,25.25,34.52,34.52,25.60,25.60,30.06,30.06,28.85,28.85,0.00,0.00
United States,USA,,,NAT_TOTAL,20220109,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,60572554,838898,63.55,27.78,27.78,13.89,13.89,20.84,20.84,18.95,18.95,30.21,30.21,22.40,22.40,26.31,26.31,25.25,25.25,34.52,34.52,25.60,25.60,30.06,30.06,28.85,28.85,0.00,0.00
United States,USA,,,NAT_TOTAL,20220110,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,,1.00,1,0.00,,0.00,,,,4.00,1.00,1.00,,0.00,,,0.00,,,,,,2.00,1,,3.00,,1.00,,,,,,2.00,1,,,,,2.00,1,,0.00,,,1.00,1,,,,,1.00,1,,,,2,,0,,,,,,,,0,,0,,61927911,840952,63.61,27.78,27.78,13.89,13.89,20.84,20.84,18.94,18.94,30.21,30.21,22.40,22.40,26.31,26.31,25.24,25.24,34.52,34.52,25.60,25.60,30.06,30.06,28.85,28.85,0.00,0.00
