CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210101,1.00,1,"According to the information released by Guizhou Government on Jan 23,2021, it has been 344 consecutive days since last local confirmed case was cured, and 301 consecutive days since last imported case. Therefore, no evidence suggests school closing measures are in place in Guizhou.     On Dec 31, 2020, Ministry of Education gave more instructions on control measures around the coming winter holiday, which was also followed by the Sichuan Government. The policy is mainly about how to effectively and safely advance the vocation and new semester, but without closing requirements.     However, there is evidence conveying some significant differences compared to usual, for example, Guizhou University made special managements for the coming vocation last December (only related news can be found on the school website).      Ps: The web page of the government webstie cannot be archived, so another page is noted.  https://web.archive.org/web/20210124112852/https://new.qq.com/rain/a/20210124A017AY00  http://wjw.guizhou.gov.cn/xwzx_500663/zwyw/202101/t20210123_66363015.html (government page)     https://web.archive.org/web/20210124120510/http://www.moe.gov.cn/jyb_xwfb/gzdt_gzdt/s5987/202012/t20201231_508387.html    https://web.archive.org/web/20210124115656/http://tw.gzu.edu.cn/article.jsp?id=12431&itemId=1016  ",1.00,1,,2.00,1,"On Dec 30, 2020, State Council issued a notice on prevention and control of Covid-19 epidemic during New Year's Day and Spring Festival in 2021, including strict oversight over major events. It does require cancelling some events, for example personnel intensive activities such as marathons are cancelled, while temple fairs for the festivals are allowed. Guizhou Province does the same.    http://web.archive.org/web/20210116111241/http://www.gov.cn/xinwen/2020-12/30/content_5575601.htm    Ps: The web page of the government webstie cannot be archived, so another page is noted.  https://web.archive.org/web/20210126032056/https://www.sohu.com/a/441514187_120056008  http://jt.guizhou.gov.cn/rdzt/gzsjttxtzzccdxyqfkz/gzbs_5630977/202012/t20201230_65851970.html (government page)  ",4.00,1,"On Dec 30, 2020, State Council issued a notice on prevention and control of Covid-19 epidemic during New Year's Day and Spring Festival in 2021, including reducing gatherings. The policy points out that social distance should be maintained more than 1 meter, and family private gatherings are recommended to be limited to less than 10 people. Sichuan Province does the same.    http://web.archive.org/web/20210116111241/http://www.gov.cn/xinwen/2020-12/30/content_5575601.htm    Ps: The web page of the government website cannot be archived, so another page is noted.  https://web.archive.org/web/20210126032056/https://www.sohu.com/a/441514187_120056008  http://jt.guizhou.gov.cn/rdzt/gzsjttxtzzccdxyqfkz/gzbs_5630977/202012/t20201230_65851970.html (government page)  ",0.00,,"On Dec 30, 2020, State Council issued a notice on prevention and control of Covid-19 epidemic during New Year's Day and Spring Festival in 2021, requiring strictly controlling traffic flow such as avoiding overload and gathering but not mentioning closing public transport. No evidence suggests that Guizhou Province takes more measures.    http://web.archive.org/web/20210116111241/http://www.gov.cn/xinwen/2020-12/30/content_5575601.htm  ",0.00,,,1.00,1,,3.00,,0.00,,"The policies recorded on 24 Feb 2020 end. Labor with employment difficulties no longer receives monthly cash payments from the government. ",1.00,,0.00,,0.00,,2.00,1,"China has done a great job of making information public since the epidemic outbreak. Public officials not only urge caution and provide instructions, but also make full use of multiple media, such as TV, newspapers and the Internet. Guizhou does the same.    Ps: The web page of the government website cannot be archived, so another page is noted.  https://web.archive.org/web/20210126031602/https://baijiahao.baidu.com/s?id=1689817362830114943&wfr=spider&for=pc  http://www.guizhou.gov.cn/ztzl/fkxxgzbdgrdfy/index.html (government page)    https://web.archive.org/web/20210126025719/http://szb.gzrbs.com.cn/pc/layout/202101/24/node_01.html  ",3.00,"Testing is available to anyone in the region, no matter symptomatic or not. The link is a list of medical institutions that can provide test.  https://archive.fo/oHhcD https://archive.vn/5jBRZ (The original link is:  http://www.guizhou.gov.cn/xwdt/dt_22/df/qxn/202101/t20210105_66031475.html )(government page)  https://archive.fo/4hfQK https://archive.vn/7P8Lm (The original link is : http://www.guizhou.gov.cn/zwgk/zfxxgk/fdzdgknr/zdmsxx/ylws/202012/t20201203_65469803.html )(government page)",2.00,"According to Law of the People's Republic of China on prevention and control of infectious diseases and Regulations on Preparedness for and response to emergent public Health Hazards, both epidemiological survey and contact tracing is being carried out. The daily report provides reliable evidence.  https://web.archive.org/web/20210126034219/https://new.qq.com/omn/20210126/20210126A01LQ900.html https://archive.vn/zSbUt  (The original link is http://www.gzhfpc.gov.cn/xwzx_500663/yqtb/)",0.00,"No emergence investment in healthcare was found in place. ",0.00,"No evidence suggests any investment in vaccines this month.",2.00,1,,1.00,1,,2.00,1,,,,1,,0,,,,,,,,1,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210102,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,0,,,,,,,,1,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210103,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,0,,,,,,,,1,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210104,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,"A  The vaccine administered: SINOPHARM  Nine groups of key workers aged 18 to 59 can now receive emergent covid-19 vaccination.   Additional notes: vaccine appointments can now only be made by the employer entities of the key workers. Individuals cannot make vaccine appointments by themselves. Employer entities pay for the vaccines.     http://wjw.guizhou.gov.cn/xwzx_500663/zwyw/202101/t20210104_66021390.html  pdf archive available upon request  ",2.00,1,,,,1,,1,"The emergency vaccination of novel coronavirus vaccine in Guizhou Province is aimed at 9 key groups facing high risks in the workplace. Relevant people can go to the designated place for vaccination. There is no personal charge for all services.    https://web.archive.org/web/20220607032209/http://wjw.guizhou.gov.cn/gzcy_500663/hygq/rdhy/202101/t20210104_66021390.html",,,0,0,2,2,5,"The emergency vaccination of novel coronavirus vaccine in Guizhou Province is aimed at 9 key groups facing high risks in the workplace. Relevant people can go to the designated place for vaccination. There is no personal charge for all services.    https://web.archive.org/web/20220607032209/http://wjw.guizhou.gov.cn/gzcy_500663/hygq/rdhy/202101/t20210104_66021390.html",0,"The emergency vaccination of novel coronavirus vaccine in Guizhou Province is aimed at 9 key groups facing high risks in the workplace. Relevant people can go to the designated place for vaccination. There is no personal charge for all services.    https://web.archive.org/web/20220607032209/http://wjw.guizhou.gov.cn/gzcy_500663/hygq/rdhy/202101/t20210104_66021390.html",147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210105,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210106,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210107,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210108,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,"The Guizhou Covid Response Team issued a “Notice on enhancing covid screening of key individuals.” According to the notice, for individuals coming from medium/high-risk regions:   Regardless of whether they have “Green Code” or negative covid test results, they must go through the “14+14+5” procedure. They are quarantined in government facilities for 14 days, followed by self-quarantine of 14 days. Throughout the process, they will receive 5 covid tests (a test per 6-7 days).     http://www.gzpt.gov.cn/xwdt_500411/tzgg/zw/202101/t20210108_66084629.html  pdf archive available upon request",3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210109,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,"The Guizhou Health Committee organized a remote conference on pandemic prevention and control, in which a vaccination objective is set: vaccinating nine key groups before Feb 5, 2021.     https://web.archive.org/web/20210327134822/https://mp.weixin.qq.com/s/I2xPUQFtnmY9REGaPFNgSQ ",2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
China,CHN,Guizhou,CHN_GZ,STATE_TOTAL,20210110,1.00,1,,1.00,1,,2.00,1,,4.00,1,,0.00,,,0.00,,,1.00,1,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,3.00,,2.00,,0.00,,0.00,,2.00,1,,1.00,1,,2.00,1,,,,1,,1,,,,0,0,2,2,5,,0,,147,2,54.63,54.63,63.10,63.10,54.90,54.90,59.17,59.17,25.00,25.00
