CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
United Kingdom,GBR,,,NAT_TOTAL,20220101,1.00,1,,,,,1.00,1,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,"Fully vaccinated arrivals do not need to quarantine upon arrival, but must take a COVID-19 test within 48 hours upon arrival. Non-vaccinated arrivals must quarantine for 10 days, and must take a PCR test 48 hours prior to departure and then test upon arrival on days 2 and 8.These rules are set to change on 11 February.  As of 15 December 2021, there are no countries on the red list.   Source: http://web.archive.org/web/20220127010758/https://www.gov.uk/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19#international-travel-rules-until-11-february-2022     Changes to be introduced 11 February for fully vaccinated travellers:    Mr Speaker, from 4am on the 11th February, and in time for the half-term break, eligible fully vaccinated passengers arriving in the UK will no longer have to take a post-arrival, lateral flow test.  Today I can announce that passengers who do not qualify as fully vaccinated will no longer be required to do a day 8 test after arrival or, indeed, to self-isolate. They will still need to fill out a passenger locator form to demonstrate proof of a negative COVID test taken 2 days before travel, and they must also take a post-arrival PCR test.  https://archive.vn/FNxIc",0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,"Everyone age 12 and over must wear a face covering in most indoor public places in Scotland. Face coverings are mandatory in most indoor public places across Wales. Sources: http://web.archive.org/web/20220101225954/https://www.gov.scot/publications/coronavirus-covid-19-public-use-of-face-coverings/ http://web.archive.org/web/20220104042745/https://gov.wales/face-coverings-guidance-public ",5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,13100458,177573,V,70.27,48.61,39.35,43.98,42.10,51.04,45.83,48.44,47.38,54.76,48.81,51.78,50.58,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220102,1.00,1,,,,,1.00,1,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,13235401,177743,V,70.29,48.61,39.35,43.98,42.10,51.04,45.83,48.44,47.38,54.76,48.81,51.78,50.58,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220103,1.00,1,,,,,1.00,1,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,13422815,177922,V,70.34,48.61,39.35,43.98,42.10,51.04,45.83,48.44,47.38,54.76,48.81,51.78,50.57,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220104,1.00,0,,,,,1.00,0,"Easing of rules in schools in England, so recording 0 for ENG. Other devolved nations remain 1G coding so GBR becomes 1T    http://web.archive.org/web/20220110165630/https://www.gov.uk/coronavirus",,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,13641520,178124,V,70.40,46.76,37.50,42.13,40.24,50.00,44.79,47.40,46.33,53.57,47.62,50.60,49.38,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220105,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,13835334,178304,V,70.46,46.76,37.50,42.13,40.24,50.00,44.79,47.40,46.33,53.57,47.62,50.60,49.38,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220106,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,14015065,178523,V,70.51,46.76,37.50,42.13,40.23,50.00,44.79,47.40,46.33,53.57,47.62,50.60,49.37,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220107,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,14193228,178752,V,70.56,46.76,37.50,42.13,40.23,50.00,44.79,47.40,46.32,53.57,47.62,50.60,49.37,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220108,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,14333794,178968,V,70.64,46.76,37.50,42.13,40.22,50.00,44.79,47.40,46.32,53.57,47.62,50.60,49.37,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220109,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,14475192,179210,V,70.69,46.76,37.50,42.13,40.21,50.00,44.79,47.40,46.32,53.57,47.62,50.60,49.36,25.00
United Kingdom,GBR,,,NAT_TOTAL,20220110,1.00,0,,,,,1.00,0,,,,2.00,1,1.00,1,1.00,1,,,,2.00,1,2.00,0,2.00,0,,3.00,0,,,,,3.00,0,,1.00,0,,,,,1.00,0,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,,2.00,1.00,1.00,,0.00,,,1.00,,,,,,2.00,1,,2.00,,1.00,,,,0.00,,3.00,0,,,,,3.00,0,,5.00,1,,2.00,0,,,,,2.00,0,,,2,,3,,5-15 yrs,5-15 yrs,2,2,2,2,5,,1,,14617314,179452,V,70.72,46.76,37.50,42.13,40.21,50.00,44.79,47.40,46.32,53.57,47.62,50.60,49.36,25.00
